,DGORDER,PERMIT,RSAFS,M2,M2V,Constant
DGORDER,7.581475190107026e-10,1.5782195209287344e-08,-8.178404341406458e-10,1.7955900770041672e-08,0.00010904398825183561,-0.0002066290896015147
PERMIT,1.5782195209276822e-08,1.1054390129187901e-05,-1.0866842400538121e-07,2.04780277662807e-06,0.021845882458426398,-0.025092047614508797
RSAFS,-8.178404341405357e-10,-1.0866842400539037e-07,1.9424653992817032e-09,-4.322682423253838e-08,-0.00036235363117335137,0.0005105946934789408
M2,1.7955900770039297e-08,2.0478027766282736e-06,-4.322682423253847e-08,1.0832465828874155e-06,0.009495387376148738,-0.014557491062351473
M2V,0.00010904398825180955,0.02184588245842743,-0.0003623536311733395,0.009495387376148464,96.58413223800095,-148.6315146224398
Constant,-0.00020662908960148384,-0.02509204761451114,0.0005105946934789384,-0.014557491062351402,-148.63151462244258,248.61669322615094
