,Estimation Statistics
r**2,0.9898431206104683
f-stat,682.1880590337953
Est Var,1.3761239775242256
rootMSE,1.1730831076800252
SSE,48.164339213347894
SSR,4693.876726138488
SST,4742.041065298936
Obs.,41.0
DOF,35.0
