Date,TREX,STMP,ENPH,IPGP,NICE,TNC,MANH,CYBR,SNA,PLNT,THO,AMN,VAR,WEX,RHI,VFSUX,VHYAX,VOO
2019-01-02,30.514999389648438,150.6699981689453,4.920000076293945,114.76000213623047,106.8499984741211,52.7400016784668,42.189998626708984,73.23999786376953,147.4600067138672,53.58000183105469,52.2400016784668,55.650001525878906,112.66999816894531,138.72000122070312,56.540000915527344,10.449999809265137,,229.99000549316406
2019-01-03,30.389999389648438,147.97000122070312,4.760000228881836,108.5999984741211,104.95999908447266,51.189998626708984,41.189998626708984,69.91000366210938,145.4600067138672,52.79999923706055,51.15999984741211,54.40999984741211,109.80000305175781,134.5800018310547,52.900001525878906,10.470000267028809,,224.5
2019-01-04,32.02000045776367,154.69000244140625,5.079999923706055,114.72000122070312,107.7300033569336,52.720001220703125,42.599998474121094,69.41999816894531,150.77000427246094,54.91999816894531,54.099998474121094,55.91999816894531,118.6500015258789,141.94000244140625,56.09000015258789,10.449999809265137,,231.91000366210938
2019-01-07,32.51499938964844,161.57000732421875,5.260000228881836,116.80999755859375,107.30999755859375,53.61000061035156,43.349998474121094,72.77999877929688,152.6999969482422,55.84000015258789,56.81999969482422,55.04999923706055,121.93000030517578,144.67999267578125,55.900001525878906,10.4399995803833,,233.64999389648438
2019-01-08,33.25,162.02000427246094,5.349999904632568,120.80000305175781,107.75,54.93000030517578,44.70000076293945,77.7300033569336,154.64999389648438,57.619998931884766,57.380001068115234,58.349998474121094,122.62000274658203,150.57000732421875,57.34000015258789,10.430000305175781,,235.9199981689453
2019-01-09,34.04999923706055,167.0,5.630000114440918,126.2699966430664,106.41999816894531,55.13999938964844,45.22999954223633,77.31999969482422,157.75999450683594,58.310001373291016,60.5,59.310001373291016,123.33000183105469,155.0,58.33000183105469,10.4399995803833,,237.00999450683594
2019-01-10,33.94499969482422,171.75,5.630000114440918,128.52000427246094,107.23999786376953,56.25,45.08000183105469,78.58000183105469,160.11000061035156,58.630001068115234,59.630001068115234,59.810001373291016,124.04000091552734,155.94000244140625,58.189998626708984,10.4399995803833,,238.0
2019-01-11,34.119998931884766,172.1999969482422,5.679999828338623,127.87999725341797,107.62000274658203,56.400001525878906,45.75,77.91999816894531,160.3300018310547,58.79999923706055,59.720001220703125,60.83000183105469,125.6500015258789,155.6300048828125,58.380001068115234,10.449999809265137,,237.88999938964844
2019-01-14,33.415000915527344,170.61000061035156,5.820000171661377,127.11000061035156,103.76000213623047,55.59000015258789,45.2400016784668,77.08000183105469,162.1300048828125,57.220001220703125,62.20000076293945,61.15999984741211,123.72000122070312,154.9600067138672,58.29999923706055,10.449999809265137,,236.5800018310547
2019-01-15,33.32500076293945,172.50999450683594,6.150000095367432,125.9000015258789,105.33000183105469,56.15999984741211,46.5,79.62999725341797,161.6300048828125,58.0,61.72999954223633,61.61000061035156,124.68000030517578,154.82000732421875,58.61000061035156,10.449999809265137,,239.35000610351562
2019-01-16,33.349998474121094,173.3699951171875,6.679999828338623,128.33999633789062,104.36000061035156,55.709999084472656,46.93000030517578,77.22000122070312,162.4499969482422,57.900001525878906,64.19000244140625,61.0,125.3499984741211,157.50999450683594,58.790000915527344,10.449999809265137,,239.8800048828125
2019-01-17,34.17499923706055,171.6699981689453,6.820000171661377,129.2100067138672,105.55000305175781,56.97999954223633,47.45000076293945,78.0,166.22999572753906,58.4900016784668,64.66000366210938,61.7599983215332,126.05000305175781,158.1699981689453,60.18000030517578,10.449999809265137,,241.6699981689453
2019-01-18,35.03499984741211,175.85000610351562,6.53000020980835,132.50999450683594,106.11000061035156,57.970001220703125,48.369998931884766,78.5199966430664,167.75999450683594,58.5,66.61000061035156,62.77000045776367,127.83999633789062,161.82000732421875,60.869998931884766,10.4399995803833,,244.9199981689453
2019-01-22,33.97999954223633,175.7899932861328,6.590000152587891,128.0500030517578,105.20999908447266,55.88999938964844,47.81999969482422,75.62999725341797,162.64999389648438,58.189998626708984,64.62000274658203,62.97999954223633,125.4800033569336,158.33999633789062,59.7599983215332,10.449999809265137,,241.66000366210938
2019-01-23,33.10499954223633,175.0,6.510000228881836,126.16999816894531,106.27999877929688,56.060001373291016,47.0099983215332,77.0,163.1699981689453,57.79999923706055,62.869998931884766,63.529998779296875,126.72000122070312,157.8000030517578,59.400001525878906,10.460000038146973,,242.02000427246094
2019-01-24,33.345001220703125,175.69000244140625,6.659999847412109,130.57000732421875,106.77999877929688,56.619998931884766,47.439998626708984,77.44000244140625,163.3699951171875,57.619998931884766,64.61000061035156,63.599998474121094,128.82000732421875,159.27000427246094,60.34000015258789,10.470000267028809,,242.25999450683594
2019-01-25,33.349998474121094,177.33999633789062,6.71999979019165,135.3000030517578,107.62000274658203,57.369998931884766,48.41999816894531,80.1500015258789,163.22000122070312,57.56999969482422,65.41000366210938,63.970001220703125,130.9600067138672,162.14999389648438,60.9900016784668,10.460000038146973,,244.32000732421875
2019-01-28,33.53499984741211,177.9499969482422,6.900000095367432,132.67999267578125,107.45999908447266,56.599998474121094,48.33000183105469,84.12999725341797,162.86000061035156,57.7400016784668,65.37999725341797,63.970001220703125,130.97999572753906,160.42999267578125,60.779998779296875,10.470000267028809,,242.42999267578125
2019-01-29,33.35499954223633,176.0800018310547,7.099999904632568,131.47000122070312,107.87000274658203,57.97999954223633,48.25,83.52999877929688,162.35000610351562,57.58000183105469,64.29000091552734,63.93000030517578,130.86000061035156,157.2100067138672,60.720001220703125,10.470000267028809,,242.1300048828125
